Cross-Validation Fold,Trial Number,Score,Feature Dimensions,Number of Heads,Head Dimensions,Dropout Rate,Activation Function,Normalization Type,ArcFace Scaling Factor,ArcFace Angular Margin Penalty,Lambda Center,Optimizer,Learning Rate,Weight Decay,Momentum,Optimizer Center,Learning Rate Center,Weight Decay Center,Momentum Center,Scheduler,Scheduler T0,Scheduler Eta Min,Scheduler Step Size,Scheduler Gamma,Scheduler Center,Scheduler Center T0,Scheduler Center Eta Min,Scheduler Center Step Size,Scheduler Center Gamma,State
Fold 1,36,0.9664492260637249,128,3,256,0.2695456128109064,gelu,batch,54,0.3121239234302562,0.02790919482926446,SGD,0.00029176293598440146,3.1150775556076715e-05,0.9458622359729048,AdamW,0.0002722136515751969,4.433026238913288e-06,,cosine,6.0,9.085357734105359e-05,,,steplr,,,19.0,0.3363369131489916,PRUNED
Fold 1,37,0.9592918293840034,512,3,512,0.15214399299294523,gelu,batch,61,0.34614095754549773,0.06345641077774777,AdamW,0.0006479677196356073,0.0006242925443177043,,AdamW,0.0003711701028428615,1.01626182854849e-06,,cosine,4.0,7.287040312383803e-05,,,cosine,8.0,4.183781690108801e-05,,,PRUNED
Fold 1,38,0.9664823884412035,512,3,128,0.275811350757194,gelu,none,49,0.3889870505036121,0.00011126266169710075,AdamW,0.0006662777990884969,0.00016174067455854008,,AdamW,0.000848278597350611,1.8918761997071298e-06,,cosine,7.0,6.352611792781885e-05,,,cosine,9.0,6.13283761234732e-05,,,PRUNED
Fold 1,39,0.9500335845793426,128,1,256,0.08349724614365087,relu,batch,62,0.3003531180174093,0.08538850222502348,SGD,2.2827564756793672e-05,4.319503390515803e-05,0.9013706898194418,AdamW,0.0005681384547546024,3.3023722835573132e-06,,cosine,8.0,4.4262148051355874e-05,,,steplr,,,6.0,0.5176636221693401,PRUNED
Fold 1,40,0.9750543860035746,384,3,128,0.4170938189887362,gelu,none,59,0.3285310922416682,0.009903140504216854,AdamW,0.00025259766665476765,0.00036712379120950635,,AdamW,5.010228080912263e-05,2.8124590419893414e-06,,steplr,,,19.0,0.2857305101794334,cosine,7.0,4.212847484756723e-05,,,COMPLETE
Fold 1,41,0.9784777150200551,512,3,128,0.18391593605207807,gelu,batch,64,0.323350770077334,0.04038852768362869,AdamW,0.0004431065357700728,0.00031702801732321005,,AdamW,0.0007060539882110337,1.7304806251593615e-06,,cosine,10.0,7.888658440826759e-05,,,cosine,9.0,5.4026764788095376e-05,,,COMPLETE
Fold 1,42,0.9655391799825388,512,3,128,0.20071238254150292,gelu,batch,63,0.3152258480886527,0.03806807347727906,AdamW,0.0004077993135502434,0.0002163471069818801,,AdamW,0.0009919836299392755,1.5927332009845407e-06,,cosine,10.0,8.828676953122385e-05,,,cosine,9.0,5.697356571506211e-05,,,PRUNED
Fold 1,43,0.9757308294081646,512,3,128,0.1337767075319514,gelu,batch,64,0.32330433217478005,0.04960369713451773,AdamW,0.0007914566267182609,0.0003662675158884758,,AdamW,0.0006319514942026997,1.062304122441511e-06,,cosine,9.0,7.590152028675497e-05,,,cosine,10.0,4.17615536823899e-05,,,PRUNED
Fold 1,44,0.9781951361073391,512,3,128,0.22628955328143222,gelu,batch,62,0.3352130507454091,0.0551010354555565,AdamW,0.0005657079127769403,9.088005804701042e-05,,AdamW,0.000439003783637078,7.641010261273907e-06,,cosine,10.0,6.868316085005896e-05,,,cosine,8.0,6.72052986354472e-05,,,COMPLETE
Fold 1,45,0.9693495049216794,512,3,128,0.32696674937863723,leaky_relu,batch,56,0.3660389323094757,0.05667528866114572,AdamW,0.0005698376737690886,0.0007394557680459991,,AdamW,0.000425414021223208,6.4982810209167364e-06,,cosine,10.0,5.913466116370006e-05,,,cosine,9.0,6.824074258160912e-05,,,PRUNED
Fold 1,46,0.9622422389902614,512,2,128,0.3745704555111946,relu,layer,61,0.35779181820606876,0.04432469065085016,AdamW,0.0009981627756191838,0.0001891685302498635,,AdamW,0.0003507765174668696,1.7288331778020633e-05,,cosine,10.0,9.111487768407743e-05,,,cosine,7.0,5.623473856983286e-05,,,PRUNED
Fold 1,47,0.9611148556604715,512,3,256,0.10476417346563208,gelu,batch,62,0.3358056676232296,0.06504407605485134,SGD,5.941400169629862e-05,1.1327702013698057e-06,0.831688948428545,SGD,0.0008094309037375304,0.0009909535962759552,0.8074339802577424,cosine,9.0,7.760001845457897e-05,,,steplr,,,14.0,0.6993680562781619,PRUNED
Fold 1,48,0.9807934506843247,512,3,128,0.22817015262039708,gelu,batch,59,0.46863104049801874,0.060074506474191616,AdamW,0.00033522497531538034,0.00044577764216973775,,AdamW,9.748158141548594e-05,8.385520058572509e-06,,steplr,,,13.0,0.7068816511996554,cosine,8.0,8.073833155643766e-05,,,COMPLETE
Fold 1,49,0.960827420482214,256,2,512,0.2782164337223129,selu,none,54,0.459753266715374,0.07393474803969499,AdamW,0.00035661324428479604,0.00047769257608506826,,AdamW,6.608881114875664e-05,4.281426302839553e-06,,steplr,,,13.0,0.7040307161167639,steplr,,,10.0,0.625012862814176,PRUNED
Fold 1,50,0.9766041405201247,128,3,128,0.05527555469833967,gelu,batch,59,0.4764609943040853,0.05029620154606666,AdamW,0.0002518796465865392,0.0003154634502730023,,AdamW,0.00011545915268119907,2.0500643765849877e-06,,steplr,,,13.0,0.6917811340134957,cosine,10.0,2.0114362466201748e-05,,,PRUNED
Fold 1,51,0.9684544095293988,512,3,128,0.23485027088632146,gelu,batch,64,0.40411084061484925,0.059329446938914655,AdamW,0.0007893422236182152,0.00012273290090090728,,AdamW,8.337810633695111e-05,8.415349306605796e-06,,steplr,,,11.0,0.8874334180063435,cosine,8.0,7.76584578941379e-05,,,PRUNED
Fold 1,52,0.9608998238234461,512,3,128,0.18345384565986578,gelu,batch,61,0.3435150013388578,0.07016284694274362,AdamW,0.0005400468881243127,0.00022949880984591355,,AdamW,2.5583777079858894e-05,4.43390908357873e-05,,steplr,,,17.0,0.7378679886411946,cosine,8.0,8.387671620029123e-05,,,PRUNED
Fold 1,53,0.9706104728911753,512,3,128,0.22372028090598564,gelu,batch,57,0.42531322116573567,0.05173185223275992,AdamW,0.0001705822634718369,0.00010035878502055314,,AdamW,0.0004794491292324865,5.21930628707718e-06,,steplr,,,15.0,0.25693169930138504,cosine,3.0,6.682955142620601e-05,,,PRUNED
Fold 1,54,0.9783637124176088,512,3,128,0.2914852033105256,gelu,batch,59,0.46316810295382255,0.06078097448406621,AdamW,0.00032628991187826426,0.0004609367103333702,,AdamW,0.00016273586564581903,1.3473754204041542e-05,,cosine,10.0,2.1865029394697974e-06,,,cosine,7.0,5.539945325164038e-05,,,COMPLETE
Fold 1,55,0.9787115145892525,384,3,128,0.3141997112426763,gelu,batch,56,0.4642900605773391,0.06091043980675129,AdamW,0.0003295726029538568,0.00044917749306092253,,SGD,0.00016319635258368884,1.092715263427789e-05,0.8394531030568697,steplr,,,5.0,0.604896929006249,cosine,6.0,4.568643055465835e-05,,,COMPLETE
Fold 1,56,0.964852235930217,384,3,128,0.3174457829861749,leaky_relu,layer,55,0.4469070776318072,0.03263041777432758,AdamW,0.00021531112302486797,0.0008751525665850523,,SGD,4.520119181403684e-05,2.1729471704737575e-05,0.8404125821549853,steplr,,,5.0,0.5985742401473325,cosine,6.0,4.23423920711649e-06,,,PRUNED
Fold 1,57,0.9688990494057654,384,1,128,0.3648992135863185,gelu,batch,53,0.48510326112604385,0.07754214036211728,AdamW,0.00011170656911781657,0.0005838224632748047,,SGD,9.8595609623548e-05,0.00014080605822333264,0.8306164358218051,steplr,,,11.0,0.4366109599052667,cosine,4.0,4.506895021797097e-05,,,PRUNED
Fold 1,58,0.7471347196958573,384,3,128,0.39505919273307677,gelu,none,56,0.4691269588690786,0.04001712730829639,SGD,0.0002946990495182046,0.00039854373731343417,0.9080697374254503,SGD,0.0008254679924531303,1.0729933884429044e-05,0.8694807085597327,steplr,,,7.0,0.6094718063286859,steplr,,,17.0,0.7928927408221302,PRUNED
Fold 1,59,0.9679284796930736,384,3,512,0.15597366815561944,relu,batch,58,0.436514265267615,0.005680396819335264,AdamW,0.000468065426989137,0.0007037624037640036,,SGD,0.0001812800303289233,1.3138012251469269e-06,0.85240552019361,steplr,,,10.0,0.757686759041181,cosine,6.0,3.8991137278635935e-05,,,PRUNED
Fold 1,60,0.9622199750582048,384,2,128,0.47972471802973093,gelu,batch,50,0.48756690126623725,0.04605862201934029,AdamW,3.993650069512639e-05,0.00024047861634439202,,SGD,0.00030172592827190555,3.7858489063211402e-06,0.820469088546138,steplr,,,13.0,0.5429994480815307,cosine,7.0,2.634577586449622e-05,,,PRUNED
Fold 1,61,0.976603894536074,512,3,128,0.2886915554297225,gelu,batch,59,0.4669354624969598,0.06127843373758584,AdamW,0.0003586127370668848,0.00047593465410732415,,AdamW,0.0001488310998177927,3.2275629983702505e-05,,cosine,10.0,3.1336280665428472e-06,,,cosine,7.0,5.70883349752027e-05,,,PRUNED
Fold 1,62,0.9818195567558182,512,3,128,0.3125302258713216,gelu,batch,60,0.44835971774797667,0.05997402432054126,AdamW,0.00017089418059317265,0.0002952043294924887,,SGD,0.00010064794015864249,1.6145936211706645e-05,0.8829433721340193,cosine,9.0,1.8819031080625074e-05,,,cosine,7.0,5.4481106613555084e-05,,,COMPLETE
Fold 1,63,0.9795665981598703,512,3,128,0.31886337298181633,gelu,batch,60,0.4471714422147745,0.0642799820595286,AdamW,0.0001855187383328982,0.0003031364880486333,,SGD,9.26832023998128e-05,1.4991539045737477e-05,0.8858641930501978,steplr,,,17.0,0.6425393226312077,cosine,5.0,3.509836081560689e-05,,,COMPLETE
Fold 1,64,0.9802586402955509,512,3,128,0.31380719726637446,gelu,batch,57,0.4497696460752006,0.06482189845737867,AdamW,0.00014900489057578166,8.853751231422675e-06,,SGD,9.523046612647029e-05,1.4363026258000051e-05,0.8838269662371739,steplr,,,18.0,0.6582566002240035,cosine,5.0,3.8012325683504784e-05,,,COMPLETE
Fold 1,65,0.9672128562122164,512,3,128,0.34559045830051677,selu,batch,60,0.4528900812338385,0.06738973071174839,AdamW,0.00014817043183585116,8.651125425133145e-06,,SGD,0.00010222573504478963,1.7226987663868616e-05,0.8825168340721865,steplr,,,18.0,0.6616774969179365,cosine,5.0,3.526659667693284e-05,,,PRUNED
Fold 1,66,0.9599453960422476,512,3,128,0.3549223795969206,gelu,layer,57,0.44020397111047976,0.08745495616688048,AdamW,8.996491400660821e-05,3.918358679257731e-06,,SGD,7.615023108289766e-05,1.3820385566393788e-05,0.8905404196611947,steplr,,,16.0,0.8026027692203592,steplr,,,7.0,0.44196496648589445,PRUNED
Fold 1,67,0.9699648554536195,512,3,256,0.3091897906496873,gelu,none,52,0.4166705746727658,0.0706308026512739,AdamW,0.00011848729694726813,2.3570268550428223e-06,,SGD,3.589077523498093e-05,8.811326047851011e-06,0.9189152318177612,steplr,,,20.0,0.759636880673765,cosine,4.0,3.113703433657526e-05,,,PRUNED
Fold 1,68,0.9701867308408534,512,3,128,0.3314412167175295,leaky_relu,batch,60,0.45053310851068024,0.06510706359785104,AdamW,0.0001554905525415482,1.1940987443242466e-05,,SGD,8.47649873317647e-05,1.9859264446067482e-05,0.866559294896681,steplr,,,18.0,0.4626511022086668,cosine,5.0,3.831187765097246e-05,,,PRUNED
Fold 1,69,0.9824664298347004,256,3,128,0.4562985256579193,gelu,batch,58,0.43287385480251106,0.05707949919562058,AdamW,0.00020145066859344004,1.2264938984865507e-06,,SGD,6.243112666002393e-05,5.308109933170773e-06,0.882488045649171,steplr,,,14.0,0.5563162335957536,steplr,,,10.0,0.2798323115137903,COMPLETE
Fold 1,70,0.9661802138449298,256,3,128,0.4240150495154732,gelu,batch,55,0.44227236380899265,0.057682082814314646,SGD,0.00018556426841187523,1.4709887578399369e-06,0.8394344625169757,SGD,6.220768875516305e-05,6.194668519788498e-05,0.8907359199181083,steplr,,,14.0,0.5703624083284795,steplr,,,10.0,0.2442337739036802,PRUNED
Fold 1,71,0.9791249623250243,256,3,128,0.38792511356473486,gelu,batch,58,0.4315006606700961,0.07469235248894569,AdamW,0.00022468264753011604,1.8747734811080815e-06,,SGD,0.00011972998251180754,5.270343180311676e-06,0.8865875361847981,steplr,,,16.0,0.49758891686085743,steplr,,,9.0,0.1233942592095445,COMPLETE
Fold 1,72,0.9807529882381257,256,3,128,0.4548652680833165,gelu,batch,58,0.43421276366320455,0.07448688919907169,AdamW,0.00012749864596995667,2.1725317717158603e-06,,SGD,0.0001197165606265189,5.31345389132267e-06,0.8856748587905013,steplr,,,16.0,0.481680873780858,steplr,,,9.0,0.11046875049782168,COMPLETE
Fold 1,73,0.9811855932575239,256,3,128,0.4155391494959791,gelu,batch,62,0.4232289239744133,0.07857056279817025,AdamW,0.00012778341439517168,2.9640745944764756e-06,,SGD,9.896971139625748e-05,3.665967691983807e-05,0.8764369763858313,steplr,,,14.0,0.6751837060359768,steplr,,,12.0,0.20765948877805815,COMPLETE
Fold 1,74,0.9654739591285052,256,3,128,0.44728763833611784,gelu,batch,62,0.419638662534233,0.08047697478317936,AdamW,0.0001321974226035171,2.742619250166263e-06,,SGD,9.412660773737728e-05,2.779663265423204e-05,0.875356494979638,steplr,,,16.0,0.6573545573403351,steplr,,,12.0,0.19559715544592715,PRUNED
Fold 1,75,0.9622367633072261,256,3,128,0.49903379488373034,gelu,batch,61,0.4297662971128553,0.08864517175501956,AdamW,0.00010187796444174158,1.4673760057140539e-06,,SGD,0.00013460417552353356,1.4518114556330097e-05,0.896292080735881,steplr,,,14.0,0.6962864380890007,steplr,,,13.0,0.29531962431893033,PRUNED
Fold 1,76,0.979293162505668,256,3,128,0.45942852183217986,gelu,batch,63,0.45719888745927806,0.07634696502594764,AdamW,0.000175916286831133,6.780283384107451e-06,,SGD,6.983066573908663e-05,4.225414169725694e-05,0.8803221054325637,steplr,,,14.0,0.6493868899215002,steplr,,,11.0,0.1704996178768329,PRUNED
Fold 1,77,0.9668111629664962,256,3,128,0.4107646124325227,gelu,batch,58,0.410401376711469,0.06853703880266122,AdamW,7.38744844809206e-05,5.022883843531693e-06,,SGD,5.143453372078348e-05,3.175424134944048e-05,0.9033688134235478,steplr,,,17.0,0.49325717670663644,steplr,,,9.0,0.2740964587013049,PRUNED
Fold 1,78,0.9700551501216499,256,3,512,0.4581871374959897,gelu,batch,61,0.4457960609848262,0.06361698456499873,AdamW,0.00012853073931824634,1.2014646957668435e-06,,SGD,5.8993695286614296e-05,3.7532453415418695e-05,0.8645082885686375,steplr,,,12.0,0.5781366759703955,steplr,,,13.0,0.10052826687973035,PRUNED
Fold 1,79,0.9685471873362737,256,3,128,0.4448495929873648,selu,batch,35,0.4244011474664174,0.08285763476381108,AdamW,0.00019542149634131913,3.6830384251683072e-06,,SGD,0.0001129819610641646,6.374986039252546e-05,0.8826729156271104,steplr,,,15.0,0.7321187700193494,steplr,,,11.0,0.15569379150976836,PRUNED
